共 48 个任务 (24 变体 × 2 起点), 2 进程并行
耗时 1607s, 写入 /root/stock/v10/results/round3.jsonl

变体             起点             终值x基线     年化%     回撤%     夏普   换手/年    抄底
add880_stock   2014-01-01    1.210x  +51.87  -28.54  1.641   19.1    15
gx_dp          2014-01-01    1.043x  +50.09  -26.99  1.637   18.5    15
gx_dp          2016-01-01    1.043x  +43.04  -26.99  1.489   19.3    13
baseline       2014-01-01    1.000x  +49.59  -26.99  1.651   17.7    15
baseline       2016-01-01    1.000x  +42.48  -26.99  1.503   18.4    13
copy_check     2014-01-01    1.000x  +49.59  -26.99  1.651   17.7    15
copy_check     2016-01-01    1.000x  +42.48  -26.99  1.503   18.4    13
engine_check   2014-01-01    1.000x  +49.59  -26.99  1.651   17.7    15
engine_check   2016-01-01    1.000x  +42.48  -26.99  1.503   18.4    13
r2full         2014-01-01    0.966x  +49.19  -26.99  1.644   17.1    15
dv_fb          2016-01-01    0.922x  +41.40  -26.99  1.467   17.8    13
dv_fb          2014-01-01    0.922x  +48.64  -26.99  1.621   17.2    15
add080_stock   2016-01-01    0.918x  +41.33  -26.99  1.479   18.4    13
add080_stock   2014-01-01    0.918x  +48.58  -26.99  1.632   17.7    15
r2full         2016-01-01    0.890x  +40.92  -26.99  1.457   17.9    13
add880_stock_fb 2014-01-01    0.889x  +48.20  -37.03  1.372   20.1    15
add100_stock   2016-01-01    0.868x  +40.59  -26.99  1.456   18.8    13
add100_stock   2014-01-01    0.868x  +47.92  -26.99  1.613   18.0    15
add880_stock   2016-01-01    0.849x  +40.29  -26.99  1.445   18.9    13
dv_def         2016-01-01    0.847x  +40.27  -26.99  1.429   17.9    13
dv_def         2014-01-01    0.847x  +47.64  -26.99  1.590   17.3    15
dv_def_ng      2016-01-01    0.830x  +40.00  -26.99  1.426   18.2    13
dv_def_ng      2014-01-01    0.830x  +47.40  -26.99  1.588   17.5    15
gx_all3        2016-01-01    0.808x  +39.64  -26.99  1.360   20.8    13
dv_def_fb      2014-01-01    0.792x  +46.85  -26.99  1.574   17.0    15
dv_def_fb      2016-01-01    0.792x  +39.38  -26.99  1.409   17.6    13
add880_def_fb  2014-01-01    0.789x  +46.81  -37.03  1.332   19.7    15
dv_def_fb_ng   2016-01-01    0.765x  +38.92  -26.99  1.399   17.4    13
dv_def_fb_ng   2014-01-01    0.765x  +46.45  -26.99  1.565   16.9    15
gx_jp          2016-01-01    0.762x  +38.87  -26.99  1.370   19.2    13
gx_jp          2014-01-01    0.762x  +46.40  -26.99  1.539   18.4    15
gx_all3        2014-01-01    0.751x  +46.23  -26.99  1.507   20.0    15
gx_de          2016-01-01    0.738x  +38.46  -26.99  1.373   20.0    13
combo_def_fb   2014-01-01    0.726x  +45.84  -37.03  1.313   19.7    15
add880_stock_fb 2016-01-01    0.710x  +37.95  -26.99  1.352   20.1    13
gx_de          2014-01-01    0.686x  +45.19  -26.99  1.522   19.3    15
bond_fb        2016-01-01    0.685x  +37.49  -23.80  1.396   19.9    13
bond_bear_fb   2016-01-01    0.685x  +37.49  -23.80  1.396   19.9    13
bond_fb        2014-01-01    0.682x  +45.12  -26.66  1.568   19.2    15
bond_bear_fb   2014-01-01    0.682x  +45.12  -26.66  1.568   19.2    15
add880_def     2016-01-01    0.669x  +37.18  -26.99  1.329   19.7    13
add880_def_fb  2016-01-01    0.617x  +36.14  -26.99  1.294   19.1    13
add880_def     2014-01-01    0.578x  +43.22  -51.16  1.342   20.8    15
combo_def_fb   2016-01-01    0.567x  +35.07  -26.99  1.266   19.2    13
bond_def_fb    2016-01-01    0.390x  +30.39  -21.44  1.224   20.0    13
r2_cifang      2016-01-01    0.374x  +29.85  -30.18  1.104   18.9    13
r2_cifang      2014-01-01    0.368x  +38.21  -30.18  1.310   18.6    15
bond_def_fb    2014-01-01    0.315x  +36.49  -26.99  1.380   19.6    15
