共 32 个任务 (16 变体 × 2 起点), 2 进程并行
耗时 1263s, 写入 /root/stock/v10/results/round6.jsonl

变体             起点             终值x基线     年化%     回撤%     夏普   换手/年    抄底
baseline       2014-01-01    1.000x  +49.11  -26.99  1.638   17.6    15
baseline       2016-01-01    1.000x  +41.95  -26.99  1.488   18.3    13
copy_check     2014-01-01    1.000x  +49.11  -26.99  1.638   17.6    15
copy_check     2016-01-01    1.000x  +41.95  -26.99  1.488   18.3    13
engine_check   2014-01-01    1.000x  +49.11  -26.99  1.638   17.6    15
engine_check   2016-01-01    1.000x  +41.95  -26.99  1.488   18.3    13
ovchk          2014-01-01    1.000x  +49.11  -26.99  1.638   17.6    15
ovchk          2016-01-01    1.000x  +41.95  -26.99  1.488   18.3    13
residvol       2014-01-01    0.780x  +46.21  -26.99  1.569   17.4    15
residvol       2016-01-01    0.640x  +36.12  -26.99  1.331   18.2    13
id_st          2016-01-01    0.570x  +34.64  -24.66  1.333   25.3    26
gold_usd       2014-01-01    0.527x  +41.74  -26.99  1.431   18.6    15
gold_usd       2016-01-01    0.516x  +33.38  -26.99  1.229   19.6    13
ov_gd          2014-01-01    0.512x  +41.41  -27.96  1.448   19.1    15
rel300         2014-01-01    0.506x  +41.28  -25.50  1.391   19.4    15
ovvol          2016-01-01    0.494x  +32.84  -31.19  1.214   18.7    13
ov_qd          2014-01-01    0.493x  +40.99  -30.72  1.416   22.0    29
ovvol          2014-01-01    0.493x  +40.99  -31.19  1.411   18.0    15
ov_gd          2016-01-01    0.488x  +32.70  -27.96  1.237   19.8    13
ov75           2016-01-01    0.448x  +31.62  -24.80  1.248   18.8    19
rel300         2016-01-01    0.444x  +31.51  -25.50  1.156   19.8    13
ov_qd          2016-01-01    0.398x  +30.17  -30.72  1.144   23.7    27
id_st          2014-01-01    0.340x  +36.90  -44.52  1.348   24.5    27
ov_st          2016-01-01    0.328x  +27.84  -29.64  1.100   19.5    36
ov75           2014-01-01    0.320x  +36.24  -34.38  1.295   18.3    25
ov25           2016-01-01    0.254x  +24.76  -24.21  1.005   24.6    31
ov_all         2016-01-01    0.233x  +23.78  -29.06  0.961   23.6    48
id_all         2016-01-01    0.198x  +21.91  -34.33  0.898   28.7    48
ov25           2014-01-01    0.196x  +31.08  -30.01  1.174   23.2    32
id_all         2014-01-01    0.104x  +24.66  -52.18  0.951   27.5    49
ov_st          2014-01-01    0.081x  +22.22  -60.15  0.854   20.1    49
ov_all         2014-01-01    0.061x  +19.56  -62.41  0.769   23.1    61
